timestamp_ms,revid,cycle_count,gain_LSB_per_uT,x_uT,y_uT,z_uT,mag_uT,fx_uT,fy_uT,fz_uT,fmag_uT,lat_deg,lon_deg,alt_m,sats,hdop_m,spd_mps,course_deg,fix_valid
46672,34,200,74.92,3.830753,22.704218,33.595837,40.728817,2.310194,11.914043,35.292061,37.320385,,,,0,,,,0
47175,34,200,74.92,8.582488,23.932196,33.63588,42.163746,2.247728,13.111587,35.05661,37.495758,,,,0,,,,0
47679,34,200,74.92,1.201281,24.479445,33.115322,41.198433,2.314466,14.244529,35.162323,38.008583,,,,0,,,,0
48182,34,200,74.92,5.726108,26.094501,32.768288,42.278507,2.244524,15.194342,35.657249,38.824547,,,,0,,,,0
48685,34,200,74.92,2.135611,26.628405,33.262146,42.661495,2.07154,15.761881,35.810482,39.180592,,,,0,,,,0
49188,34,200,74.92,1.588361,29.618259,31.607048,43.344776,1.887343,16.323013,35.756023,39.350937,,,,0,,,,0
49691,34,200,74.92,0.186866,29.444742,31.914042,43.422733,1.829148,16.930595,35.587311,39.451839,,,,0,,,,0
50194,34,200,74.92,0.013348,30.872932,31.086493,43.812191,1.767215,17.60865,35.33424,39.518303,,,,0,,,,0
50697,34,200,74.92,1.828617,29.538176,31.713829,43.377583,1.878267,18.257877,35.066757,39.579735,,,,0,,,,0
51200,34,200,74.92,-0.974373,32.394554,28.777363,43.341587,1.858513,18.977045,34.64764,39.547962,,,,0,,,,0
51704,34,200,74.92,0.306994,32.98185,28.203417,43.397343,1.872394,19.789644,34.175671,39.536217,,,,0,,,,0
52208,34,200,74.92,1.401495,32.75494,28.57715,43.491425,1.982378,20.559534,33.702633,39.528366,,,,0,,,,0
52714,34,200,74.92,6.09984,30.899628,29.164442,42.925049,2.112651,21.320879,33.245079,39.550961,,,,0,,,,0
53217,34,200,74.92,2.509343,29.751736,29.23118,41.78426,2.196474,22.024563,32.79607,39.56625,,,,0,,,,0
53720,34,200,74.92,2.095569,30.072077,29.644955,42.279362,2.14949,22.763483,32.379623,39.638824,,,,0,,,,0
54223,34,200,74.92,-1.962093,28.416979,31.206621,42.251953,2.155363,23.550457,32.042198,39.824265,,,,0,,,,0
54726,34,200,74.92,-2.629472,29.044315,30.779499,42.401226,2.14949,24.354515,31.7005,40.033543,,,,0,,,,0
55229,34,200,74.92,-0.306994,28.563803,31.233316,42.326176,2.313932,25.174055,31.416998,40.325119,,,,0,,,,0
55732,34,200,74.92,-0.427122,28.990925,31.113188,42.528656,2.474637,26.043249,31.176207,40.69804,,,,0,,,,0
56235,34,200,74.92,5.379071,30.16551,30.619328,43.317844,2.581418,26.813137,31.000551,41.068748,,,,0,,,,0
56738,34,200,74.92,1.254672,30.525894,30.565937,43.216675,2.506137,27.468769,30.973322,41.474819,,,,0,,,,0
57242,34,200,74.92,3.416978,30.726109,29.391352,42.657017,2.386009,28.04752,31.036324,41.899998,,,,0,,,,0
57745,34,200,74.92,3.150027,29.030968,30.325682,42.099487,2.316068,28.388683,31.133493,42.196873,,,,0,,,,0
58248,34,200,74.92,3.203417,30.39242,29.791779,42.679165,2.17405,28.74106,31.040062,42.358711,,,,0,,,,0
58751,34,200,74.92,2.282435,30.806194,30.365725,43.316376,1.995726,29.153233,30.867609,42.505329,,,,0,,,,0
59254,34,200,74.92,2.082221,31.260012,30.44581,43.686054,1.925785,29.495464,30.74161,42.64666,,,,0,,,,0
59757,34,200,74.92,2.189002,30.779499,31.059797,43.782192,1.670045,29.769356,30.638565,42.751904,,,,0,,,,0
60260,34,200,74.92,1.308062,31.633743,31.006407,44.314804,1.674317,30.055527,30.554209,42.891697,,,,0,,,,0
60763,34,200,74.92,4.071009,31.113188,31.166578,44.226227,1.608113,30.256275,30.490141,42.984612,,,,0,,,,0
61267,34,200,74.92,4.791778,31.54031,30.178858,43.914871,1.714359,30.452751,30.36681,43.040123,,,,0,,,,0
61770,34,200,74.92,8.996263,30.459158,29.284571,43.200455,2.010675,30.486387,30.273911,43.011303,,,,0,,,,0
62273,34,200,74.92,6.673786,29.431395,29.89856,42.481411,2.270152,30.485851,30.193291,42.967144,,,,0,,,,0
62776,34,200,74.92,6.340096,29.871864,30.432463,43.112179,2.523222,30.44581,30.16713,42.934483,,,,0,,,,0
63279,34,200,74.92,3.897491,27.696211,32.261078,42.697163,2.605977,30.372131,30.189018,42.902615,,,,0,,,,0
63782,34,200,74.92,4.311265,31.393488,29.431395,43.247486,2.817403,30.33209,30.215181,42.906067,,,,0,,,,0
64285,34,200,74.92,1.468233,29.097706,31.32675,42.780807,2.863852,30.176723,30.340115,42.887749,,,,0,,,,0
64789,34,200,74.92,0.54725,27.85638,31.553658,42.09407,2.829682,29.980782,30.459175,42.832413,,,,0,,,,0
65295,34,200,74.92,2.736252,27.509344,32.087563,42.354019,2.695139,29.845171,30.576099,42.812332,,,,0,,,,0
65798,34,200,74.92,1.735184,28.230112,31.246664,42.146221,2.664172,29.784307,30.656719,42.825661,,,,0,,,,0
66302,34,200,74.92,5.432461,27.909771,30.819542,41.93222,2.797648,29.697815,30.703701,42.807758,,,,0,,,,0
66805,34,200,74.92,4.618259,27.429258,31.033102,41.674286,3.060862,29.658306,30.69676,42.7934,,,,0,,,,0
67308,34,200,74.92,5.459157,28.96423,30.565937,42.461811,3.384407,29.655102,30.688217,42.809414,,,,0,,,,0
67811,34,200,74.92,2.30913,29.151094,30.83289,42.494534,3.489053,29.678595,30.672199,42.822613,,,,0,,,,0
68314,34,200,74.92,0.093433,32.688202,29.484785,44.021358,3.509875,29.826485,30.607063,42.880424,,,,0,,,,0
68817,34,200,74.92,3.617192,30.072077,31.460224,43.67104,3.439399,29.822746,30.640697,42.89613,,,,0,,,,0
69320,34,200,74.92,4.551522,32.167645,29.45809,43.854904,3.571274,29.888416,30.596384,42.920975,,,,0,,,,0
69823,34,200,74.92,6.64709,31.967432,28.844101,43.56699,3.700478,29.938068,30.574495,42.950916,,,,0,,,,0
70327,34,200,74.92,8.502402,33.68927,27.602777,44.375343,3.914573,30.124401,30.465578,43.022724,,,,0,,,,0
70830,34,200,74.92,11.305392,32.47464,27.949814,44.312599,4.238652,30.207691,30.391899,43.059708,,,,0,,,,0
71333,34,200,74.92,6.807261,32.421249,28.230112,43.524883,4.419645,30.272293,30.306475,43.063065,,,,0,,,,0
71836,34,200,74.92,11.612387,32.661507,26.521624,43.646511,4.800852,30.328352,30.149508,43.033127,,,,0,,,,0
72339,34,200,74.92,8.635879,33.889484,25.800856,43.459866,5.058727,30.452751,29.93915,43.003643,,,,0,,,,0
72842,34,200,74.92,6.873999,33.649227,25.680727,42.88382,5.281364,30.533371,29.726124,42.939747,,,,0,,,,0
73345,34,200,74.92,6.780566,33.475708,25.907635,42.869625,5.389747,30.627874,29.515764,42.875359,,,,0,,,,0
73848,34,200,74.92,7.91511,33.702618,25.680727,43.104698,5.51468,30.714365,29.33584,42.829609,,,,0,,,,0
74352,34,200,74.92,6.273358,30.926323,29.45809,43.169106,5.405764,30.733051,29.342781,42.833885,,,,0,,,,0
74855,34,200,74.92,4.204485,35.224239,25.747465,43.833282,5.306992,30.964766,29.176735,42.874966,,,,0,,,,0
75358,34,200,74.92,5.258943,33.836094,27.522692,43.932178,5.263746,31.123335,29.060345,42.905392,,,,0,,,,0
75861,34,200,74.92,5.018687,33.822746,27.455954,43.851963,5.308594,31.368397,28.868139,42.959599,,,,0,,,,0
76364,34,200,74.92,8.595836,33.395622,27.322477,43.996292,5.479978,31.448481,28.783785,42.983059,,,,0,,,,0
76867,34,200,74.92,6.793914,33.288841,27.14896,43.489887,5.693005,31.616127,28.616673,43.022129,,,,0,,,,0
77371,34,200,74.92,8.168714,32.287773,27.762947,43.359074,5.997863,31.793385,28.465044,43.093529,,,,0,,,,0
77877,34,200,74.92,6.727176,32.394554,28.203417,43.47522,6.1575,31.988792,28.309677,43.15826,,,,0,,,,0
78380,34,200,74.92,6.860651,34.129738,27.349173,44.270584,6.362519,32.224777,28.15378,43.261452,,,,0,,,,0
78883,34,200,74.92,4.591565,31.273359,30.298986,43.785088,6.328883,32.359318,28.132957,43.343323,,,,0,,,,0
79386,34,200,74.92,5.032034,32.634811,29.097706,44.011688,6.345434,32.567543,28.05554,43.451382,,,,0,,,,0
79890,34,200,74.92,6.673786,25.213562,33.048588,42.100739,6.394019,32.417515,28.154846,43.41053,,,,0,,,,0
80393,34,200,74.92,2.36252,27.028831,30.058729,40.492794,6.396155,32.332626,28.123878,43.327381,,,,0,,,,0
80896,34,200,74.92,2.616124,26.775229,29.871864,40.200562,6.497062,32.096107,28.139362,43.176331,,,,0,,,,0
81399,34,200,74.92,0.787507,29.618259,29.191137,41.593075,6.383875,32.077953,28.048599,43.086807,,,,0,,,,0
81902,34,200,74.92,2.402563,29.311266,31.687134,43.231899,6.297917,31.963699,28.137762,43.047363,,,,0,,,,0
82405,34,200,74.92,0.38708,30.205553,31.660439,43.75967,6.047516,31.893223,28.250416,43.032967,,,,0,,,,0
82908,34,200,74.92,5.71276,30.339029,30.539242,43.425079,5.935931,31.759214,28.367874,42.995571,,,,0,,,,0
83411,34,200,74.92,4.431394,29.284571,29.858517,42.056561,5.660971,31.631611,28.444221,42.914787,,,,0,,,,0
83915,34,200,74.92,5.619328,29.324614,29.604912,42.047123,5.613454,31.507746,28.499214,42.85387,,,,0,,,,0
84418,34,200,74.92,3.697277,25.93433,31.98078,41.340412,5.296849,31.238659,28.717581,42.762249,,,,0,,,,0
84921,34,200,74.92,6.780566,25.2803,32.407902,41.657433,5.222637,30.894293,28.981863,42.681164,,,,0,,,,0
85424,34,200,74.92,6.193273,24.479445,33.422318,41.888557,5.195408,30.5275,29.291527,42.625275,,,,0,,,,0
85927,34,200,74.92,7.808329,23.424988,34.11639,42.114464,5.236518,30.125471,29.619875,42.57114,,,,0,,,,0
86430,34,200,74.92,8.061933,17.418581,36.71917,41.433067,5.242391,29.47411,30.061413,42.425163,,,,0,,,,0
86933,34,200,74.92,11.26535,6.727176,39.148426,41.288769,5.44207,28.506142,30.449026,42.063755,,,,0,,,,0
87436,34,200,74.92,21.502937,3.563802,35.771492,41.888859,6.134008,27.239723,30.849987,41.609497,,,,0,,,,0
87939,34,200,74.92,22.343834,7.341164,35.424454,42.520954,6.817404,26.179926,31.166058,41.269707,,,,4,14.8,,,0
88443,34,200,74.92,23.171383,8.128671,34.810467,42.599964,7.543511,25.152163,31.460238,40.979046,,,,4,14.8,,,0
88946,34,200,74.92,21.663107,7.941805,35.224239,42.108307,8.066202,24.13401,31.776306,40.709309,,,,4,14.8,,,0
89449,34,200,74.92,23.424988,7.514682,34.196476,42.125996,8.731445,23.103045,32.058208,40.468723,,,,4,14.8,,,0
89953,34,200,74.92,22.97117,8.088628,33.702618,41.580849,9.323544,22.135078,32.295795,40.248089,,,,4,14.8,,,0
90459,34,200,74.92,22.704218,9.410038,32.728245,40.928822,9.962626,21.215698,32.476791,40.051239,,,,4,14.8,,,0
90962,34,200,74.92,20.835558,9.78377,33.101974,40.318523,10.521621,20.241859,32.706902,39.877045,,,,4,14.8,,,0
91465,34,200,74.92,22.050188,13.547785,31.76722,40.974499,11.219966,19.532835,32.765633,39.761868,,,,4,14.8,,,0
91968,34,200,74.92,28.069942,9.263214,30.258944,42.300503,12.141482,18.597971,32.812084,39.622379,,,,4,14.8,,,0
92471,34,200,74.92,29.818474,7.207688,30.192205,43.042553,13.067269,17.877737,32.697826,39.490692,,,,4,14.8,,,0
92974,34,200,74.92,29.004272,1.681794,29.831821,41.641491,14.132939,16.863855,32.688751,39.404114,,,,4,14.8,,,0
93478,34,200,74.92,30.098772,4.511479,28.830753,41.922569,15.232244,15.973305,32.647106,39.408138,,,,4,14.8,,,0
93981,34,200,74.92,29.391352,9.236519,30.339029,43.23912,16.376398,15.158034,32.69302,39.582649,,,,4,14.8,,,0
94484,34,200,74.92,26.735186,9.436732,32.568073,43.179874,17.349703,14.363053,32.728256,39.729691,,,,4,14.8,,,0
94987,34,200,74.92,27.202351,11.158569,32.087563,43.521183,18.422314,13.601173,32.745342,39.957867,,,,4,14.8,,,0
95490,34,200,74.92,25.2803,11.65243,33.03524,43.199535,19.205015,12.853708,32.845181,40.160381,,,,4,14.8,,,0
95993,34,200,74.92,27.402563,7.434597,32.501335,43.156815,20.123863,11.97971,32.950893,40.425793,,,,4,14.8,,,0
96496,34,200,74.92,26.70849,8.302189,32.794983,43.101978,20.96743,11.138812,33.078495,40.717232,,,,4,14.8,,,0
96999,34,200,74.92,25.49386,11.585691,32.581421,42.961777,21.839293,10.564867,33.102524,41.04081,,,,4,14.8,,,0
97503,34,200,74.92,26.027763,10.77149,32.060867,42.677494,22.60918,9.984515,33.088638,41.300407,,,,4,14.8,,,0
98006,34,200,74.92,27.455954,10.117459,31.086493,42.691479,23.459688,9.410035,32.995209,41.564281,,,,4,14.8,,,0
98509,34,200,74.92,28.376936,10.678057,30.846237,43.252304,24.282433,8.900158,32.864403,41.820072,,,,4,14.8,,,0
99012,34,200,74.92,27.549387,11.665777,30.752804,42.904476,25.061928,8.670046,32.625748,42.044136,,,,4,14.8,,,0
99515,34,200,74.92,30.352377,9.757074,29.711693,43.580406,25.825411,8.791242,32.24828,42.239666,,,,4,14.8,,,0
100018,34,200,74.92,26.361452,12.479979,31.887348,43.214336,26.019751,9.147889,32.092911,42.316265,,,,4,14.8,,,0
100521,34,200,74.92,28.630541,12.213028,30.405767,43.512947,26.271217,9.342763,31.892166,42.362415,,,,4,14.8,,,0
101024,34,200,74.92,26.481581,9.089696,31.82061,42.384525,26.403625,9.381205,31.772572,42.363365,,,,4,14.8,,,0
101528,34,200,74.92,26.975441,6.433529,31.433531,41.918152,26.616117,9.320873,31.620943,42.369568,,,,4,14.8,,,0
102031,34,200,74.92,26.815269,7.941805,31.246664,41.934292,26.751728,9.337958,31.502949,42.370842,,,,4,14.8,,,0
102535,34,200,74.92,28.109985,4.831821,30.138815,41.495373,26.957281,9.207686,31.360397,42.366863,,,,4,14.8,,,0
103041,34,200,74.92,25.547251,-0.88094,30.525894,39.81543,27.071001,8.796047,31.272305,42.286716,,,,4,14.8,,,0
103544,34,200,74.92,27.536039,5.205553,30.058729,41.095722,27.339022,8.612919,31.150574,42.331581,,,,4,14.8,,,0
104047,34,200,74.92,25.400427,6.967432,32.781635,42.051903,27.47303,8.349705,31.191151,42.395435,,,,4,14.8,,,0
104550,34,200,74.92,26.548319,5.312333,32.381207,42.208729,27.412165,8.191669,31.276039,42.387745,,,,4,14.8,,,0
105053,34,200,74.92,25.480513,3.203417,32.741592,41.61166,27.238647,8.031498,31.378016,42.320545,,,,4,14.8,,,0
105556,34,200,74.92,25.49386,4.151094,32.781635,41.734928,27.09823,8.13027,31.496008,42.33691,,,,4,14.8,,,0
106059,34,200,74.92,26.21463,-1.441538,31.927389,41.335735,26.942863,7.892149,31.619873,42.284988,,,,4,14.8,,,0
106562,34,200,74.92,25.173519,3.68393,32.75494,41.474854,26.774151,7.670046,31.716509,42.209259,,,,4,14.8,,,0
107066,34,200,74.92,26.014416,-0.54725,31.807262,41.094418,26.745319,7.270687,31.686077,42.097298,,,,4,14.8,,,0
107569,34,200,74.92,25.627337,3.230112,31.486919,40.726162,26.68232,6.953549,31.66205,41.985516,,,,4,14.8,,,0
108072,34,200,74.92,28.483717,3.29685,30.365725,41.764442,26.810457,6.619326,31.555271,41.932697,,,,4,14.8,,,0
108575,34,200,74.92,25.894287,4.030966,31.740524,41.16095,26.750124,6.483181,31.524839,41.849926,,,,4,14.8,,,0
109078,34,200,74.92,27.80299,6.446877,30.872932,42.044102,26.793903,6.408968,31.447956,41.808636,,,,4,14.8,,,0
109581,34,200,74.92,23.051256,7.367859,33.502403,41.328644,26.696199,6.240255,31.484795,41.748295,,,,4,14.8,,,0
110084,34,200,74.92,25.173519,6.486919,32.04752,41.265358,26.662029,6.068872,31.484261,41.700764,,,,4,14.8,,,0
110587,34,200,74.92,24.652964,5.672718,32.674854,41.323051,26.54991,5.891082,31.547796,41.651722,,,,4,14.8,,,0
111091,34,200,74.92,25.453817,5.76615,32.434597,41.6311,26.432985,5.694606,31.61133,41.598167,,,,4,14.8,,,0
